save to:--->  ./data/res_0924/all\beta0.005_gamma0.1_meaboth_Qx0.001_Qp0.0001_Px_0.0025_Pp0.002_Rx0.005_N50_L20
beta estimate=0.001016583378059599, gamma estimate=0.101535469932995
beta estimate=0.0008668530041502365, gamma estimate=0.10239525921051512
beta estimate=0.0006476516437037283, gamma estimate=0.10099065977404448
beta estimate=0.0006839855945716677, gamma estimate=0.09849379593910534
beta estimate=0.0005209622877892506, gamma estimate=0.09775117066707917
beta estimate=0.0006388341795096064, gamma estimate=0.09963276545750449
beta estimate=0.0008134807498074714, gamma estimate=0.09834059501511622
beta estimate=0.001051455704859372, gamma estimate=0.1044324423787083
beta estimate=0.000873772030710096, gamma estimate=0.10588973369646304
beta estimate=0.0008898617534765507, gamma estimate=0.10029307459732117
beta estimate=0.0010193904648618246, gamma estimate=0.0982429480092562
beta estimate=0.0006771865550000422, gamma estimate=0.09592958108782218
beta estimate=0.00046645384759280706, gamma estimate=0.09169907991473047
beta estimate=0.0004402519551627848, gamma estimate=0.09269402156887402
beta estimate=0.0011190145084488679, gamma estimate=0.08961458813402762
beta estimate=0.0011336265165806658, gamma estimate=0.08097209111271153
beta estimate=0.002258835399232717, gamma estimate=0.07782612348560491
beta estimate=0.0028204740539404805, gamma estimate=0.08175288270179226
beta estimate=0.9961580793083751, gamma estimate=0.08599554370763168
beta estimate=0.6539304830921692, gamma estimate=0.08625319545137983
beta estimate=0.0042039102690826224, gamma estimate=0.08605324048512175
beta estimate=0.0043675050485790234, gamma estimate=0.085900725863305
beta estimate=0.0040485740201710585, gamma estimate=0.08590163355730712
beta estimate=0.004048924696254452, gamma estimate=0.08591647399717273
beta estimate=0.004051889061927716, gamma estimate=0.08659677555938683
beta estimate=0.004058120852710012, gamma estimate=0.08672991271529856
beta estimate=0.00404148916967173, gamma estimate=0.08628657899687042
beta estimate=0.004013227088893567, gamma estimate=0.08593833352574687
beta estimate=0.003978072165753244, gamma estimate=0.08586245979090673
beta estimate=0.00390968721813606, gamma estimate=0.08655772907086434
beta estimate=0.003905547849576252, gamma estimate=0.08659330857839981
beta estimate=0.003876379390158169, gamma estimate=0.08668152125967443
beta estimate=0.0038060986909487227, gamma estimate=0.08653303993506245
beta estimate=0.003808507096458913, gamma estimate=0.08564535152600472
beta estimate=0.003693281044241825, gamma estimate=0.0855976290274641
beta estimate=0.0037615623504335116, gamma estimate=0.08575905926262678
beta estimate=0.003614473168962684, gamma estimate=0.08467482724364567
beta estimate=0.003588638384342979, gamma estimate=0.08450448130646682
beta estimate=0.003514163578850371, gamma estimate=0.0838162306480344
beta estimate=0.0038951343960911267, gamma estimate=0.08359600454272709
beta estimate=0.004683006054043537, gamma estimate=0.08274538043950214
beta estimate=0.005935064563424575, gamma estimate=0.08225093421417501
beta estimate=0.006736194734714596, gamma estimate=0.08182072044611571
beta estimate=0.007295855252205108, gamma estimate=0.08144406404925536
beta estimate=0.006475497971426658, gamma estimate=0.08125187693356328
beta estimate=0.00607686327112833, gamma estimate=0.08115200787746157
beta estimate=0.0056362440831754235, gamma estimate=0.08121798362258309
beta estimate=0.005227719995132829, gamma estimate=0.08104733549023363
beta estimate=0.004915056345940028, gamma estimate=0.08098693829561676
beta estimate=0.004666202576962986, gamma estimate=0.08078133053150338
beta estimate=0.004448065209229968, gamma estimate=0.08056042841432087
beta estimate=0.0042591313541403, gamma estimate=0.0803871582748455
beta estimate=0.004070410675299729, gamma estimate=0.08071011654916621
beta estimate=0.004043037897363544, gamma estimate=0.08078981271582253
beta estimate=0.003978504794313942, gamma estimate=0.08081546952162239
beta estimate=0.0038465036735840785, gamma estimate=0.08059937691912644
beta estimate=0.003773552237238853, gamma estimate=0.08064560914438779
beta estimate=0.0036975755340298844, gamma estimate=0.08098518913342845
beta estimate=0.0036559553959760183, gamma estimate=0.0810771876581956
beta estimate=0.0033270338022189927, gamma estimate=0.07995878499981562
beta estimate=0.003447135809870494, gamma estimate=0.07679473648414431
beta estimate=0.0037128250251058925, gamma estimate=0.07367572074392548
beta estimate=0.004399288395706968, gamma estimate=0.06978067295241924
beta estimate=0.015186181630565176, gamma estimate=0.06938715466223272
beta estimate=0.00871441858120725, gamma estimate=0.0686800060370163
beta estimate=0.0075647399875490295, gamma estimate=0.06837961930634556
beta estimate=0.006279879921280207, gamma estimate=0.06829613567779064
beta estimate=0.005349709517010692, gamma estimate=0.06836096317199042
beta estimate=0.004730855669161149, gamma estimate=0.06810642072214512
beta estimate=0.0042581752764142555, gamma estimate=0.0683060007838277
beta estimate=0.003916629000299043, gamma estimate=0.06827295128108163
beta estimate=0.003675103354817577, gamma estimate=0.06817582117255128
beta estimate=0.003409700736085819, gamma estimate=0.06774567450561286
beta estimate=0.0032480754035522086, gamma estimate=0.06755952791190328
beta estimate=0.003142653029939324, gamma estimate=0.06784201160095271
beta estimate=0.003029159224196609, gamma estimate=0.06777860977367778
beta estimate=0.002927336601275532, gamma estimate=0.06736854570279704
beta estimate=0.0028817967946546674, gamma estimate=0.06701931495499097
beta estimate=0.002828215309222226, gamma estimate=0.06737026454302703
beta estimate=0.002530947227607272, gamma estimate=0.06558722860472488
beta estimate=0.002464210688783386, gamma estimate=0.06275226340872686
beta estimate=0.002527481026732059, gamma estimate=0.05885102088006772
beta estimate=0.0027968360807072434, gamma estimate=0.05582651029397018
beta estimate=0.004805284628080664, gamma estimate=0.05304154785244508
beta estimate=0.9799029902547158, gamma estimate=0.053751489688206866
beta estimate=0.010639100439345184, gamma estimate=0.05199692684528906
beta estimate=0.010325088429612272, gamma estimate=0.05154878761434012
beta estimate=0.009937986232898266, gamma estimate=0.05131406933913718
beta estimate=0.009539695611094468, gamma estimate=0.050519386751597284
beta estimate=0.009630402219534318, gamma estimate=0.051163356912440394
beta estimate=0.015957617832047133, gamma estimate=0.05200160026918682
beta estimate=0.005417964147130971, gamma estimate=0.054177682411120254
beta estimate=0.00633342238804796, gamma estimate=0.05359507128731278
beta estimate=0.005572738295970381, gamma estimate=0.050430520872925155
beta estimate=0.007422984493406171, gamma estimate=0.05683245435821899
beta estimate=0.004758431762561965, gamma estimate=0.051553744321242434
beta estimate=0.007427915193782442, gamma estimate=0.0546284009307032
beta estimate=0.013411243464311329, gamma estimate=0.05382598765571589
beta estimate=0.9890751527753433, gamma estimate=0.05311497067252219
beta estimate=0.9940694617023005, gamma estimate=0.04823182791426056
beta estimate=0.9980632004475871, gamma estimate=0.04576966627838308
beta estimate=0.9984097081189839, gamma estimate=0.04387333019601569
beta estimate=0.9980897339750906, gamma estimate=0.03901244078628979
beta estimate=0.9971193767659439, gamma estimate=0.031770780729355685
beta estimate=0.9966701668150972, gamma estimate=0.02918734636746617
beta estimate=0.9970647008988484, gamma estimate=0.03212761778136125
beta estimate=0.9954652888364102, gamma estimate=0.03240944859966732
beta estimate=0.9908732258787096, gamma estimate=0.02770454143112
beta estimate=0.997337758745794, gamma estimate=0.02763924586667399
beta estimate=0.9978073899272092, gamma estimate=0.024564695918822432
beta estimate=0.9981002250188711, gamma estimate=0.02432286726671945
beta estimate=0.9982894861521674, gamma estimate=0.022320074056525474
beta estimate=0.9985079931677309, gamma estimate=0.02474351477327602
beta estimate=0.9982901007830657, gamma estimate=0.02395493497341855
beta estimate=0.998541184208352, gamma estimate=0.02447148014951489
beta estimate=0.9984349805599408, gamma estimate=0.02305019984389367
beta estimate=0.9979235109308264, gamma estimate=0.02169904483269175
beta estimate=0.9982921536477013, gamma estimate=0.021228346795074515
beta estimate=0.9983844554807175, gamma estimate=0.02175780266953453
beta estimate=0.9983114746102013, gamma estimate=0.02199217417558247
beta estimate=0.9979609069896622, gamma estimate=0.022254508700355558
beta estimate=0.9978664205244722, gamma estimate=0.02165173223955441
beta estimate=0.9981131129065852, gamma estimate=0.02161889550856899
beta estimate=0.9977126450987654, gamma estimate=0.01945740267156776
beta estimate=0.9978035374146009, gamma estimate=0.02103928914417963
beta estimate=0.9978556805570942, gamma estimate=0.019783295196908024
beta estimate=0.9981178489295268, gamma estimate=0.019177103806286233
beta estimate=0.9984255242081019, gamma estimate=0.019758263678154087
beta estimate=0.9984738419230945, gamma estimate=0.01983403379107679
beta estimate=0.9985418060265399, gamma estimate=0.019179419266008246
beta estimate=0.9979237398452385, gamma estimate=0.018188666204270676
beta estimate=0.9984003561716059, gamma estimate=0.01784314468203163
beta estimate=0.9983609979659669, gamma estimate=0.016330398905470445
beta estimate=0.9982234467338154, gamma estimate=0.01722562930168514
beta estimate=0.9981677533276542, gamma estimate=0.016819798783919426
beta estimate=0.9985452835547679, gamma estimate=0.017096115809068835
beta estimate=0.9986523539768748, gamma estimate=0.016714289950773564
beta estimate=0.9988201456189982, gamma estimate=0.016566407591106114
beta estimate=0.9985865528798179, gamma estimate=0.016815810640730344
beta estimate=0.9985141603977049, gamma estimate=0.017546262664432932
beta estimate=0.9985380872750753, gamma estimate=0.01812547459570618
beta estimate=0.9986186644996761, gamma estimate=0.01788389524225703
beta estimate=0.998621690583934, gamma estimate=0.01765466338821503
